{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[13]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.747936368378298---Ssim_score:0.6323820710012618---uiqm_va: 0.6833615923453342---uciqe_va:28.592148309581688
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[14]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.78899339831934---Ssim_score:0.6348887037505674---uiqm_va: 0.695549239111707---uciqe_va:28.23389486516961
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[15]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.82308993067985---Ssim_score:0.6371455616633387---uiqm_va: 0.6847310942378247---uciqe_va:28.213110080877758
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[16]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.879779982626978---Ssim_score:0.6397780010765288---uiqm_va: 0.7081131273681436---uciqe_va:28.54360124731392
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[17]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.76200511884178---Ssim_score:0.6394987450005878---uiqm_va: 0.7463051669028213---uciqe_va:28.99147712806348
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[18]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.8294310515392---Ssim_score:0.6422307823416691---uiqm_va: 0.7222998318090789---uciqe_va:28.76361628606145
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[19]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.778896679611712---Ssim_score:0.6448776274670048---uiqm_va: 0.6984472690166761---uciqe_va:28.747523824461442
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[20]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.90752300229346---Ssim_score:0.6473920791408595---uiqm_va: 0.7257180853055978---uciqe_va:28.93296106762222
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[21]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.827059624074288---Ssim_score:0.6496127506239809---uiqm_va: 0.6692201563617415---uciqe_va:28.161912832466246
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 16], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[22]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.92395089810619---Ssim_score:0.6496847021740378---uiqm_va: 0.702026122172176---uciqe_va:28.444267969499077
