{'con1': 4, 'con2': 8, 'con3': 4, 'con4': 8, 'con5': 8, 'RCAB1': [4, 4], 'decon4': [8, 8], 'RCAB2': [16, 12], 'decon5': [4, 4], 'RCAB3': [8, 8], 'decon6': [8, 4], 'RCAB4': [16, 16], 'decon7': [8, 4], 'decon8': [4, 8]}:epoch[200]:---flops: 61.996K---params: 0.000B---Psnr_score: 17.962625797676793---Ssim_score:0.6655401372861328---uiqm_va: 0.7115438255941485---uciqe_va:28.345254675973813
{'con1': 4, 'con2': 4, 'con3': 8, 'con4': 8, 'con5': 4, 'RCAB1': [8, 4], 'decon4': [4, 8], 'RCAB2': [4, 16], 'decon5': [4, 8], 'RCAB3': [4, 12], 'decon6': [8, 4], 'RCAB4': [12, 4], 'decon7': [8, 8], 'decon8': [8, 4]}:epoch[200]:---flops: 53.548K---params: 0.000B---Psnr_score: 17.70641331974699---Ssim_score:0.6522102440579717---uiqm_va: 0.6869161240101304---uciqe_va:28.00305617366859
{'con1': 8, 'con2': 8, 'con3': 4, 'con4': 8, 'con5': 8, 'RCAB1': [8, 4], 'decon4': [8, 8], 'RCAB2': [12, 4], 'decon5': [4, 4], 'RCAB3': [8, 16], 'decon6': [4, 8], 'RCAB4': [12, 12], 'decon7': [4, 8], 'decon8': [4, 4]}:epoch[200]:---flops: 78.384K---params: 0.000B---Psnr_score: 18.0988215464319---Ssim_score:0.6553026325104142---uiqm_va: 0.6949542575265577---uciqe_va:27.59227039724964
{'con1': 8, 'con2': 4, 'con3': 8, 'con4': 8, 'con5': 8, 'RCAB1': [4, 8], 'decon4': [8, 8], 'RCAB2': [12, 8], 'decon5': [4, 4], 'RCAB3': [8, 12], 'decon6': [8, 8], 'RCAB4': [8, 16], 'decon7': [4, 8], 'decon8': [4, 8]}:epoch[200]:---flops: 66.096K---params: 0.000B---Psnr_score: 17.813946540671566---Ssim_score:0.6614228296928518---uiqm_va: 0.7473591875442074---uciqe_va:27.71550590645497
{'con1': 4, 'con2': 4, 'con3': 8, 'con4': 4, 'con5': 8, 'RCAB1': [4, 4], 'decon4': [4, 4], 'RCAB2': [8, 4], 'decon5': [8, 4], 'RCAB3': [16, 4], 'decon6': [8, 8], 'RCAB4': [12, 4], 'decon7': [4, 4], 'decon8': [8, 8]}:epoch[200]:---flops: 64.040K---params: 0.000B---Psnr_score: 17.516159340440083---Ssim_score:0.6379055141295833---uiqm_va: 0.7305350423957484---uciqe_va:27.479812809311426
{'con1': 4, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 8, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [12, 4], 'decon5': [8, 8], 'RCAB3': [12, 16], 'decon6': [4, 8], 'RCAB4': [8, 12], 'decon7': [8, 8], 'decon8': [4, 8]}:epoch[200]:---flops: 65.068K---params: 0.000B---Psnr_score: 17.761672355739716---Ssim_score:0.6611665969869118---uiqm_va: 0.7116093728521776---uciqe_va:27.74483759135758
{'con1': 4, 'con2': 8, 'con3': 8, 'con4': 8, 'con5': 4, 'RCAB1': [4, 4], 'decon4': [8, 8], 'RCAB2': [4, 12], 'decon5': [8, 4], 'RCAB3': [16, 4], 'decon6': [4, 4], 'RCAB4': [4, 4], 'decon7': [4, 4], 'decon8': [8, 8]}:epoch[200]:---flops: 65.836K---params: 0.000B---Psnr_score: 18.327445700271163---Ssim_score:0.6512471246888589---uiqm_va: 0.7209106832235974---uciqe_va:28.335912570230803
{'con1': 8, 'con2': 8, 'con3': 4, 'con4': 8, 'con5': 8, 'RCAB1': [4, 8], 'decon4': [8, 4], 'RCAB2': [12, 4], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 8], 'RCAB4': [12, 16], 'decon7': [4, 4], 'decon8': [8, 8]}:epoch[200]:---flops: 77.356K---params: 0.000B---Psnr_score: 17.433935429077557---Ssim_score:0.6507045947155657---uiqm_va: 0.6984869241420104---uciqe_va:27.858149281194223
{'con1': 4, 'con2': 8, 'con3': 8, 'con4': 4, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [4, 8], 'RCAB2': [8, 8], 'decon5': [8, 4], 'RCAB3': [8, 12], 'decon6': [4, 4], 'RCAB4': [12, 16], 'decon7': [4, 4], 'decon8': [8, 4]}:epoch[200]:---flops: 64.808K---params: 0.000B---Psnr_score: 18.23561568055935---Ssim_score:0.6598120107846811---uiqm_va: 0.6936469216464795---uciqe_va:27.8973581923632
{'con1': 4, 'con2': 4, 'con3': 4, 'con4': 8, 'con5': 4, 'RCAB1': [4, 4], 'decon4': [4, 4], 'RCAB2': [4, 16], 'decon5': [8, 4], 'RCAB3': [8, 16], 'decon6': [4, 4], 'RCAB4': [8, 8], 'decon7': [8, 8], 'decon8': [4, 4]}:epoch[200]:---flops: 44.320K---params: 0.000B---Psnr_score: 18.34309089694985---Ssim_score:0.6604237311904483---uiqm_va: 0.7037590918794532---uciqe_va:28.066692217917403
